glyph[0] {.notdef,0x01}
glyph[1] {.null,U+0000}
glyph[2] {uni000D,U+000D}
glyph[3] {space,U+0020}
glyph[4] {S,U+0053}
glyph[5] {M,U+004D}
glyph[6] {g,U+0067}
glyph[7] {b,U+0062}
glyph[8] {e,U+0065}
glyph[9] {s,U+0073}
glyph[10] {U,U+0055}
glyph[11] {a,U+0061}
glyph[12] {h,U+0068}
glyph[13] {m,U+006D}
glyph[14] {n,U+006E}
glyph[15] {d,U+0064}
glyph[16] {q,U+0071}
glyph[17] {p,U+0070}
glyph[18] {o,U+006F}
glyph[19] {i,U+0069}
glyph[20] {H,U+0048}
glyph[21] {O,U+004F}
glyph[22] {N,U+004E}
glyph[23] {D,U+0044}
glyph[24] {C,U+0043}
glyph[25] {E,U+0045}
glyph[26] {F,U+0046}
glyph[27] {A,U+0041}
glyph[28] {I,U+0049}
glyph[29] {L,U+004C}
glyph[30] {B,U+0042}
glyph[31] {l,U+006C}
glyph[32] {G,U+0047}
glyph[33] {J,U+004A}
glyph[34] {j,U+006A}
glyph[35] {c,U+0063}
glyph[36] {f,U+0066}
glyph[37] {t,U+0074}
glyph[38] {k,U+006B}
glyph[39] {x,U+0078}
glyph[40] {v,U+0076}
glyph[41] {w,U+0077}
glyph[42] {u,U+0075}
glyph[43] {y,U+0079}
glyph[44] {z,U+007A}
glyph[45] {r,U+0072}
glyph[46] {T,U+0054}
glyph[47] {V,U+0056}
glyph[48] {P,U+0050}
glyph[49] {R,U+0052}
glyph[50] {Q,U+0051}
glyph[51] {W,U+0057}
glyph[52] {X,U+0058}
glyph[53] {Y,U+0059}
glyph[54] {Z,U+005A}
glyph[55] {one,U+0031}
glyph[56] {two,U+0032}
glyph[57] {nine,U+0039}
glyph[58] {zero,U+0030}
glyph[59] {three,U+0033}
glyph[60] {four,U+0034}
glyph[61] {five,U+0035}
glyph[62] {six,U+0036}
glyph[63] {seven,U+0037}
glyph[64] {eight,U+0038}
glyph[65] {exclam,U+0021}
glyph[66] {quotedbl,U+0022}
glyph[67] {at,U+0040}
glyph[68] {numbersign,U+0023}
glyph[69] {dollar,U+0024}
glyph[70] {percent,U+0025}
glyph[71] {asciicircum,U+005E}
glyph[72] {ampersand,U+0026}
glyph[73] {quotesingle,U+0027}
glyph[74] {parenleft,U+0028}
glyph[75] {parenright,U+0029}
glyph[76] {colon,U+003A}
glyph[77] {period,U+002E}
glyph[78] {semicolon,U+003B}
glyph[79] {comma,U+002C}
glyph[80] {bracketleft,U+005B}
glyph[81] {bracketright,U+005D}
glyph[82] {question,U+003F}
glyph[83] {slash,U+002F}
glyph[84] {backslash,U+005C}
glyph[85] {plus,U+002B}
glyph[86] {equal,U+003D}
glyph[87] {hyphen,U+002D}
glyph[88] {underscore,U+005F}
glyph[89] {bar,U+007C}
glyph[90] {quotedblbase,U+201E}
glyph[91] {less,U+003C}
glyph[92] {greater,U+003E}
